time,open,high,low,close,volume
2023-04-20 20:00:00,104.25,104.32,104.25,104.32,6661
2023-04-20 19:55:00,104.2,104.28,104.2,104.25,12293
2023-04-20 19:50:00,104.1,104.23,104.1,104.23,8227
2023-04-20 19:45:00,104.01,104.15,103.96,104.1,12142
2023-04-20 19:40:00,104.03,104.0308,103.97,103.97,2154
2023-04-20 19:35:00,103.98,104.05,103.82,104.0,2407
2023-04-20 19:30:00,103.94,104.04,103.94,104.04,1743
2023-04-20 19:25:00,103.99,104.0,103.99,104.0,834
2023-04-20 19:20:00,103.97,104.02,103.94,103.99,3280
2023-04-20 19:15:00,104.0,104.0,104.0,104.0,337
2023-04-20 19:10:00,104.0,104.04,103.95,103.95,2606
2023-04-20 19:05:00,103.98,104.01,103.92,104.0,6957
2023-04-20 19:00:00,103.92,103.95,103.88,103.95,3241
2023-04-20 18:55:00,103.89,103.91,103.87,103.87,4499
2023-04-20 18:50:00,103.83,103.85,103.83,103.85,888
2023-04-20 18:45:00,103.82,103.82,103.82,103.82,397
2023-04-20 18:40:00,103.86,103.86,103.82,103.82,2274
2023-04-20 18:35:00,103.85,103.85,103.85,103.85,153
2023-04-20 18:30:00,103.85,103.85,103.85,103.85,127
2023-04-20 18:25:00,103.84,103.85,103.8213,103.85,1066
2023-04-20 18:20:00,103.83,103.83,103.83,103.83,254
2023-04-20 18:15:00,103.83,103.84,103.83,103.83,1637
2023-04-20 18:10:00,103.86,103.87,103.86,103.87,441
2023-04-20 18:05:00,103.86,103.86,103.82,103.82,2190
2023-04-20 18:00:00,103.8895,103.8895,103.8895,103.8895,1167
2023-04-20 17:55:00,103.85,103.85,103.85,103.85,388
2023-04-20 17:45:00,103.92,103.92,103.92,103.92,4252
2023-04-20 17:40:00,103.93,103.93,103.92,103.92,1126
2023-04-20 17:35:00,103.87,103.9394,103.87,103.93,10552
2023-04-20 17:30:00,103.85,103.85,103.85,103.85,465
2023-04-20 17:25:00,103.86,103.87,103.86,103.86,883
2023-04-20 17:20:00,103.85,103.86,103.85,103.86,4705
2023-04-20 17:15:00,103.8593,103.8595,103.8593,103.8595,484
2023-04-20 17:10:00,103.84,103.85,103.84,103.85,1296
2023-04-20 17:05:00,103.83,103.83,103.83,103.83,2058
2023-04-20 17:00:00,103.81,103.85,103.81,103.8307,1072
2023-04-20 16:55:00,103.8801,103.8801,103.82,103.82,112565
2023-04-20 16:50:00,103.88,103.95,103.85,103.9,12786
2023-04-20 16:45:00,103.81,103.85,103.81,103.85,79982
2023-04-20 16:40:00,103.82,103.9,103.82,103.88,4518
2023-04-20 16:35:00,103.91,103.91,103.81,103.84,12105
2023-04-20 16:30:00,103.8918,103.8918,103.89,103.89,2172
2023-04-20 16:25:00,103.89,103.9,103.87,103.88,7500
2023-04-20 16:20:00,103.86,103.91,103.81,103.81,54658
2023-04-20 16:15:00,103.85,103.88,103.83,103.86,6676
2023-04-20 16:10:00,103.93,103.94,103.81,103.84,296647
2023-04-20 16:05:00,103.81,104.1,103.79,103.9194,1437767
2023-04-20 16:00:00,103.69,103.94,103.685,103.79,1873777
2023-04-20 15:55:00,103.67,103.73,103.45,103.69,1094804
2023-04-20 15:50:00,103.49,103.705,103.4821,103.665,569394
2023-04-20 15:45:00,103.6,103.713,103.43,103.49,690706
2023-04-20 15:40:00,103.475,103.6,103.3601,103.59,437127
2023-04-20 15:35:00,103.2439,103.55,103.2439,103.485,667625
2023-04-20 15:30:00,103.27,103.34,103.21,103.245,471262
2023-04-20 15:25:00,103.36,103.46,103.27,103.275,698168
2023-04-20 15:20:00,103.36,103.41,103.265,103.365,675655
2023-04-20 15:15:00,103.6,103.6,103.32,103.36,613854
2023-04-20 15:10:00,103.64,103.68,103.53,103.605,498697
2023-04-20 15:05:00,103.74,104.01,103.591,103.64,627315
2023-04-20 15:00:00,103.6,103.81,103.53,103.74,464016
2023-04-20 14:55:00,103.54,103.65,103.5029,103.595,319079
2023-04-20 14:50:00,103.58,103.82,103.51,103.5507,704946
2023-04-20 14:45:00,103.67,103.675,103.455,103.585,596571
2023-04-20 14:40:00,103.67,103.69,103.53,103.675,490902
2023-04-20 14:35:00,103.735,103.7721,103.58,103.67,545590
2023-04-20 14:30:00,103.825,104.44,103.65,103.7346,429207
2023-04-20 14:25:00,103.855,103.87,103.735,103.825,590375
2023-04-20 14:20:00,104.0699,104.07,103.8115,103.8501,1602279
2023-04-20 14:15:00,104.26,104.3,104.06,104.065,453058
2023-04-20 14:10:00,104.3416,104.4,104.22,104.265,369813
2023-04-20 14:05:00,104.3281,104.355,104.2,104.345,452691
2023-04-20 14:00:00,104.575,104.61,104.31,104.345,411451
2023-04-20 13:55:00,104.3699,104.62,104.33,104.575,439877
2023-04-20 13:50:00,104.43,104.485,104.36,104.3607,273140
2023-04-20 13:45:00,104.48,104.51,104.38,104.425,263157
2023-04-20 13:40:00,104.4899,104.5399,104.425,104.49,286529
2023-04-20 13:35:00,104.47,104.54,104.41,104.49,293687
2023-04-20 13:30:00,104.4899,104.64,104.4599,104.4626,376624
2023-04-20 13:25:00,104.62,104.625,104.38,104.49,510894
2023-04-20 13:20:00,104.625,104.7,104.58,104.6177,547089
2023-04-20 13:15:00,104.42,104.63,104.33,104.627,574615
2023-04-20 13:10:00,104.35,104.56,104.32,104.43,727239
2023-04-20 13:05:00,104.22,104.38,104.17,104.3486,429644
2023-04-20 13:00:00,104.13,104.225,104.02,104.21,412847
2023-04-20 12:55:00,104.19,104.2399,104.05,104.125,285866
2023-04-20 12:50:00,104.0399,104.22,104.0399,104.18,363975
2023-04-20 12:45:00,104.11,104.11,103.94,104.0399,433966
2023-04-20 12:40:00,104.265,104.39,104.11,104.12,446040
2023-04-20 12:35:00,104.35,104.39,104.22,104.26,351750
2023-04-20 12:30:00,104.225,104.405,104.16,104.3581,507845
2023-04-20 12:25:00,104.17,104.24,104.06,104.235,315022
2023-04-20 12:20:00,104.2,104.26,104.15,104.174,277604
2023-04-20 12:15:00,104.0199,104.2,103.995,104.1931,328618
2023-04-20 12:10:00,103.9791,104.04,103.88,103.99,291645
2023-04-20 12:05:00,104.19,104.239,103.95,103.975,456187
2023-04-20 12:00:00,104.34,104.36,104.1885,104.1885,534088
2023-04-20 11:55:00,104.17,104.35,104.11,104.3401,375941
2023-04-20 11:50:00,104.27,104.325,104.16,104.17,469084
2023-04-20 11:45:00,104.005,104.355,103.99,104.2627,807687
2023-04-20 11:40:00,103.755,104.02,103.7333,104.01,487622
2023-04-20 11:35:00,103.895,103.9,103.6928,103.75,493599
2023-04-20 11:30:00,103.82,103.91,103.66,103.89,402393
2023-04-20 11:25:00,103.78,103.97,103.7401,103.8085,506725
2023-04-20 11:20:00,103.79,103.81,103.66,103.7801,530436
2023-04-20 11:15:00,103.75,103.85,103.71,103.7899,397553
2023-04-20 11:10:00,103.9,103.99,103.65,103.74,937711
2023-04-20 11:05:00,104.06,104.18,103.86,103.8988,748618
2023-04-20 11:00:00,104.3,104.3085,104.0,104.06,689701
2023-04-20 10:55:00,104.4,104.5817,104.27,104.305,559108
2023-04-20 10:50:00,104.385,104.43,104.12,104.3973,598003
2023-04-20 10:45:00,104.4,104.45,104.2,104.4,673081
2023-04-20 10:40:00,104.82,104.85,104.35,104.41,719017
2023-04-20 10:35:00,104.71,104.965,104.705,104.825,735425
2023-04-20 10:30:00,104.695,104.84,104.62,104.71,572366
2023-04-20 10:25:00,104.74,104.8,104.43,104.6923,751153
2023-04-20 10:20:00,104.83,104.845,104.615,104.75,608984
2023-04-20 10:15:00,104.8,104.98,104.72,104.84,666109
2023-04-20 10:10:00,104.7,104.88,104.4251,104.7999,1116422
2023-04-20 10:05:00,105.1,105.25,104.68,104.71,1237272
2023-04-20 10:00:00,105.09,105.2,104.91,105.105,1102364
2023-04-20 09:55:00,104.555,105.1,104.4,105.096,1321379
